Date,Time,postcode_served,postcode_entered

25/09/2020,19:11:35,Postcode served = No,Postcode entered = bsrthsrths
25/09/2020,19:19:16,Postcode served = No,Postcode entered = ub1 1ah
25/09/2020,19:21:23,Postcode served = Yes,Postcode entered = sl2 5rf
25/09/2020,19:21:33,Postcode served = No,Postcode entered = ub1 1ah
25/09/2020,19:22:10,Postcode served = No,Postcode entered = ub1 1ah
25/09/2020,19:22:14,Postcode served = Yes,Postcode entered = sl2 5rf
25/09/2020,19:23:04,Postcode served = Yes,Postcode entered = sl2 5rf
25/09/2020,20:04:13,Postcode served = Yes,Postcode entered = sl2 5rf
25/09/2020,20:05:24,Postcode served = Yes,Postcode entered = sl2 5rf
25/09/2020,20:06:41,Postcode served = Yes,Postcode entered = sl2 5rf
25/09/2020,21:15:29,Postcode served = Yes,Postcode entered = sl2 5rf
25/09/2020,21:23:50,Postcode served = No,Postcode entered = ub1 1ah
25/09/2020,21:24:20,Postcode served = No,Postcode entered = ub1 1ah
25/09/2020,21:24:37,Postcode served = No,Postcode entered = ub1 1ah
25/09/2020,21:24:48,Postcode served = Yes,Postcode entered = sl2 5rf
25/09/2020,21:25:20,Postcode served = Yes,Postcode entered = sl2 5rf
25/09/2020,21:27:15,Postcode served = Yes,Postcode entered = sl2 5rf
